CompanyCode,EPS,ROA,Dbequrt,year
1113,0.0117,0.546,113.954,2011
1113,-0.3014,-8.7961,148.7945,2012
1113,0.0162,0.748,159.7732,2013
1113,0.0258,1.1759,160.7293,2014
1113,-0.138,-3.9182,186.1156,2015
1113,0.0363,1.4979,47.671,2016
1113,0.0594,2.6442,39.5982,2017
1113,0.0873,3.5671,40.9164,2018
1114,1.006,6.5915,215.2355,2009
1114,1.611,12.4429,222.298,2010
1114,1.834,12.7822,181.2355,2011
1114,1.882,10.5462,140.7556,2012
1114,2.25,10.3016,153.8276,2013
1114,2.537,9.702,145.798,2014
1114,2.702,8.6506,171.7099,2015
1114,2.903,7.9767,185.249,2016
1114,2.959,7.1705,200.3358,2017
1114,3.082,6.4269,212.507,2018
1115,0.52,3.6849,257.3285,2009
1115,0.52,6.4183,139.4517,2010
1115,0.11,1.8534,150.113,2011
1115,0.03,0.7089,153.9654,2012
1115,0.47,4.453,70.4025,2013
1115,0.38,6.6987,48.8454,2014
1115,0.4,6.6325,50.8602,2015
1115,0.27,7.8596,50.6111,2016
1115,0.31,7.5997,65.1952,2017
1115,0.16,4.8116,83.4487,2018
1116,0.2213,1.986,236.9955,2009
1116,0.2951,2.5525,268.0857,2010
1116,0.7834,6.2977,198.875,2011
1116,0.2564,4.2302,159.7351,2012
1116,0.3024,4.9103,156.3591,2013
1116,0.272,4.0757,114.0745,2014
1116,0.25,3.2945,125.3465,2015
1116,0.33,4.1617,96.3705,2016
1116,0.28,4.1353,87.2929,2017
1116,0.2,3.4008,84.5427,2018
1117,0.038,1.7966,199.8056,2009
1117,0.04,1.6421,326.6422,2010
1117,0.078,2.0759,311.4767,2011
1117,0.04,1.5248,363.6587,2012
1117,0.03,0.8884,341.0421,2013
1117,-0.02,0.4038,130.5081,2014
1117,0.01,0.3178,129.3194,2015
1117,0.01,0.4279,115.3617,2016
1117,0.01,0.212,107.7648,2017
1117,0.02,0.4323,129.4502,2018
1118,0.0724,2.9342,74.9291,2009
1118,0.0749,2.7507,61.4649,2010
1118,0.0637,2.6662,64.6578,2011
1118,0.2413,8.6492,40.6707,2012
1118,0.1954,6.0197,38.3594,2013
1118,0.1059,2.9731,60.5204,2014
1118,0.0632,1.6125,60.8449,2015
1118,0.0388,1.0182,65.1861,2016
1118,0.0503,1.2445,69.5751,2017
1118,0.0435,0.9951,78.9466,2018
1120,0.0061,0.6791,110.045,2009
1120,0.0274,0.8643,141.7821,2010
1120,-0.0595,-1.1979,123.0596,2011
1120,0.0045,0.1255,163.3458,2012
1120,0.0048,0.025,219.2329,2013
1120,-0.2279,-4.2772,293.1637,2014
1120,0.1257,1.7259,205.0156,2015
1120,0.0228,0.8577,188.7211,2016
1120,0.1652,3.6263,186.6008,2017
1120,0.0845,1.8655,226.032,2018
1121,0.069,1.7936,233.9178,2009
1121,0.93,17.9779,186.9999,2010
