CompanyCode,EPS,ROA,Dbequrt,LOGTA,year
1100,0.035,4.5981,135.9388,21.09189209,2015
1100,0.38,12.6504,24.521,22.7069715,2016
1100,0.36,8.0327,19.983,22.69687555,2017
1100,0.37,7.0947,39.6138,22.88888444,2018
1103,0.0084,0.6806,101.9548,20.33854911,2009
1103,0.008,0.2055,84.6317,20.28423244,2010
1103,0.067,3.5324,76.8132,20.23943998,2011
1103,0.062,2.9728,85.2128,20.35382816,2012
1103,0.16,7.3188,65.4541,20.36818413,2013
1103,0.11,4.8123,68.0139,20.46383917,2014
1103,0.463,6.6618,66.1819,23.00591545,2015
1103,0.54,6.0808,86.838,23.21395034,2016
1103,0.73,6.6418,113.7462,23.42236817,2017
1103,0.73,5.6698,105.1691,23.44227487,2018
1105,-0.2319,-7.0734,105.8779,20.98797823,2009
1105,0.0379,1.1579,88.4209,20.91653368,2010
1105,0.0595,1.0351,94.683,20.9747495,2011
1105,0.0678,1.1534,125.8523,21.16374144,2012
1105,0.0918,2.3778,100.4808,21.0900067,2013
1105,0.032,0.427,65.177,20.9094531,2014
1105,0.0404,1.4911,54.3954,20.85411047,2015
1105,0.0426,1.4671,49.8599,20.83601636,2016
1105,0.058,1.903,44.9581,20.81357727,2017
1105,0.0419,1.7055,30.421,20.72482437,2018
1106,0.1331,0.0069,300.3916,23.69388378,2009
1106,0.3082,1.3672,375.2106,23.91919755,2010
1106,0.2594,0.9265,299.4478,24.02174193,2011
1106,-0.7607,-2.024,387.4526,24.022546,2012
1106,0.3795,1.0519,681.5397,24.90788702,2013
1106,-2.2881,-4.1087,1116.3447,24.95023298,2014
1106,0.0896,0.2822,1066.1984,24.92910752,2015
1106,-2.5668,-5.2476,1612.5056,24.93871157,2016
1106,0.1528,0.395,1607.5314,24.87519729,2017
1106,0.0929,0.3828,1406.4291,24.94013523,2018
1107,0.7508,15.6781,88.5183,20.84785682,2009
1107,0.1339,2.2924,95.3717,20.93343248,2010
1107,0.32,5.1221,95.0569,21.01100801,2011
1107,0.64,9.7028,65.998,21.00169512,2012
1107,0.51,7.8678,52.5401,20.98556057,2013
1107,0.52,8.0086,47.0943,21.02427286,2014
1107,-0.55,-8.73,48.672,20.88581906,2015
1107,0.04,0.5535,111.9223,21.27485525,2016
1107,0.51,7.1347,17.3727,21.31168608,2017
1107,0.58,7.1088,39.0278,21.55909376,2018
1108,0.345,6.9279,53.6949,23.4593162,2009
1108,0.3625,6.5301,60.0883,23.57452549,2010
1108,0.1865,3.1987,94.7743,23.74799082,2011
1108,0.3429,4.3965,130.9557,24.21039082,2012
1108,0.3749,4.4237,126.8605,24.24172585,2013
1108,0.4477,5.0559,118.0244,24.24310976,2014
1108,0.4778,5.356,111.7255,24.27464239,2015
1108,0.2454,2.8835,113.1029,24.28763763,2016
1108,0.2489,2.421,120.4448,24.37520592,2017
1108,0.2571,2.0619,116.0446,24.3729461,2018
1109,0.0102,0.4364,7.3903,20.05847005,2009
1109,0.015,0.6328,8.8406,20.07872567,2010
1109,0.0149,0.6213,11.0503,20.08737754,2011
1109,0.0022,0.0932,10.4335,20.08283966,2012
1109,0.0018,0.0752,13.4641,20.11075457,2013
1109,0.01,0.5304,19.7884,20.1480483,2014
1109,0.01,0.4128,22.9121,20.18007386,2015
1109,0.0088,0.3301,24.5552,20.19688781,2016
1109,0.0088,0.3361,18.1139,20.13600239,2017
1109,0.0121,0.4618,24.8583,20.19713705,2018
1110,0.3597,2.4805,164.0612,23.7861857,2009
1110,0.4867,2.5932,178.6328,23.93671248,2010
1110,0.36,3.1562,238.3485,24.13014544,2011
1110,0.3051,2.6419,246.888,24.24082444,2012
1110,0.3262,2.8269,270.3277,24.47435893,2013
1110,0.34,2.6295,297.681,24.62977384,2014
1110,0.44,4.0583,193.7802,24.76387264,2015
1110,1.4516,8.2129,151.7024,24.77700177,2016
1110,0.035,0.8739,182.5426,24.8758014,2017
1110,-1.309,-5.4966,273.3731,24.87603087,2018
1111,0.53,8.3454,85.1095,21.49618559,2009
1111,0.47,6.4498,83.1378,21.60955588,2010
1111,0.68,8.865,62.8215,21.63261316,2011
1111,0.34,4.0112,57.8486,21.65965418,2012
1111,0.51,5.837,45.8927,21.66526696,2013
1111,0.3,3.0978,46.8452,21.71359428,2014
1111,0.27,2.9876,45.6164,21.74666433,2015
1111,0.26,2.7281,42.1201,21.75975318,2016
1111,0.3,3.4064,44.2621,21.82522259,2017
1111,0.31,3.125,41.4324,21.8740121,2018
1113,-0.1878,-6.6664,55.8776,21.79068826,2009
1113,0.0522,2.2828,80.4114,21.90297432,2010
1113,0.0117,0.546,113.954,22.0203276,2011
1113,-0.3014,-8.7961,148.7945,21.98212841,2012
1113,0.0162,0.748,159.7732,22.01001254,2013
1113,0.0258,1.1759,160.7293,21.94066572,2014
1113,-0.138,-3.9182,186.1156,21.91025916,2015
